Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022,August,13/08/2022,22:40,Saturday,2.53,168,00:14:32,14.53,152,184,2.8,161,181,05:45,03:50,35,8,1.08,,0,0,0,,02:55.82.6,3,00:14:14,00:14:32,641,672
Running,2022,August,13/08/2022,22:38,Saturday,0.15,6,00:01:03,1.05,114,128,0.1,139,157,07:07,06:06,,,1.01,,0,0,0,,00:02.82.5,2,00:58.8,01:02.9,,
Strength Training,2022,August,04/08/2022,20:25,Thursday,0,140,00:32:16,32.27,98,125,0.5,0,0,,,,,0,,0,0,53,8,32:15.66.6,1,00:28:56,00:32:16,,
Strength Training,2022,August,01/08/2022,21:29,Monday,0,56,00:11:16,11.27,103,122,0.3,0,0,,,,,0,,0,0,29,6,11:16.05.2,1,07:26.0,00:12:05,,
Running,2022,August,01/08/2022,20:48,Monday,3.97,247,00:21:17,21.28,156,195,3.3,159,191,05:22,02:49,83,83,1.15,,0,0,0,,00:02.83.2,12,00:21:04,00:21:17,339,356
Running,2022,August,01/08/2022,20:40,Monday,0.69,46,00:04:28,4.47,111,125,1.1,160,168,06:26,05:29,11,8,0.97,,0,0,0,,04:27.59.7,1,00:04:27,04:27.6,343,356
Strength Training,2022,July,30/07/2022,23:26,Saturday,0,60,00:07:29,7.48,128,148,1,0,0,,,,,0,,0,0,47,8,07:28.94.4,1,04:30.0,07:28.9,,
Running,2022,July,30/07/2022,23:11,Saturday,2.44,166,00:13:16,13.27,131,165,3,163,208,05:26,04:46,33,20,1.13,,0,0,0,,02:22.72.2,3,00:13:11,00:14:28,349,377
Strength Training,2022,July,29/07/2022,19:03,Friday,0,20,00:03:31,3.52,109,126,0.3,0,0,,,,,0,,0,0,14,3,03:31.4,1,02:02.0,03:31.4,,
Pool Swimming,2022,July,29/07/2022,17:28,Friday,0.86,155,00:14:01,14.02,125,150,1.4,0,0,01:45,01:11,,,0,301,36,21,0,,14:01.46.3,1,00:14:01,00:16:56,,
Running,2022,July,23/07/2022,21:52,Saturday,0.51,47,00:05:26,5.43,131,142,0.7,99,244,10:40,03:01,48,35,0.91,,0,0,0,,00:17.65.6,8,04:44.8,05:25.6,351,366
Running,2022,July,23/07/2022,21:29,Saturday,1.01,118,00:14:56,14.93,133,170,1.7,85,165,14:46,06:46,22,10,0.8,,0,0,0,,00:08.64.5,2,00:10:46,00:14:56,327,350
Track Running,2022,July,23/07/2022,21:13,Saturday,0.86,59,00:07:18,7.3,133,143,0.9,106,242,08:30,01:38,77,75,1.01,,0,0,0,,00:14.72.2,12,06:37.6,07:39.4,334,351
Running,2022,July,23/07/2022,21:10,Saturday,0.07,7,00:00:53,0.88,125,129,0.1,99,233,12:32,09:39,,15,0.81,,0,0,0,,00:53.29.6,1,00:00:44,00:53.3,332,347
Running,2022,July,23/07/2022,21:00,Saturday,1.64,109,00:09:05,9.08,139,176,2.4,159,170,05:32,04:21,27,38,1.14,,0,0,0,,03:51.83.7,2,08:58.8,09:05.5,349,380
Strength Training,2022,July,18/07/2022,20:50,Monday,0,71,00:06:57,6.95,142,156,1.8,0,0,,,,,0,,0,0,46,6,06:56.51.5,1,03:18.6,06:56.5,,
Running,2022,July,18/07/2022,20:31,Monday,3.04,184,00:13:33,13.55,157,195,3.4,166,185,04:28,03:25,39,40,1.35,,0,0,0,,00:08.32.6,4,00:13:32,00:13:33,356,376
Running,2022,July,16/07/2022,18:48,Saturday,5.82,416,00:31:56,31.93,157,187,4.2,159,193,05:29,03:51,42,43,1.15,,0,0,0,,04:19.98.4,6,00:31:08,00:31:56,951,979
Pool Swimming,2022,July,16/07/2022,15:45,Saturday,0.825,189,00:44:10,44.17,111,158,1.8,0,0,02:13,00:56,,,0,550,50,30,0,,44:09.75.6,1,00:18:14,00:44:46,,
Running,2022,July,14/07/2022,18:45,Thursday,4.01,253,00:18:23,18.38,163,188,3.7,162,177,04:35,03:57,51,54,1.35,,0,0,0,,00:00.88.3,5,00:18:22,00:18:25,350,376
Strength Training,2022,July,13/07/2022,21:52,Wednesday,0,31,00:05:28,5.47,112,124,0.6,0,0,,,,,0,,0,0,29,6,05:28.5,1,03:24.6,05:28.5,,
Pool Swimming,2022,July,12/07/2022,13:13,Tuesday,0.625,116,00:25:10,25.17,111,142,1.2,0,0,02:02,01:07,,,0,328,44,26,0,,25:10.34.8,1,00:12:41,00:25:25,,
Strength Training,2022,July,06/07/2022,21:19,Wednesday,0,47,00:09:16,9.27,106,120,0.3,0,0,,,,,0,,0,0,21,5,09:15.65.8,1,02:27.6,09:15.7,,
Pool Swimming,2022,July,05/07/2022,13:51,Tuesday,1.025,170,00:29:35,29.58,122,150,2.1,0,0,02:14,01:35,,,0,555,47,24,0,,00:17.48.5,5,00:22:53,00:31:30,,
Strength Training,2022,July,03/07/2022,19:57,Sunday,0,54,00:07:15,7.25,124,145,0.8,0,0,,,,,0,,0,0,49,6,07:14.99.3,1,03:44.9,07:15.0,,
Running,2022,July,03/07/2022,19:29,Sunday,2.89,195,00:16:04,16.07,151,189,3.1,160,175,05:33,04:26,37,41,1.12,,0,0,0,,05:02.73.5,3,00:16:02,00:16:04,327,365
Pool Swimming,2022,June,30/06/2022,16:45,Thursday,1.01,162,00:28:15,28.25,130,152,2.1,0,0,02:19,01:53,,,0,536,48,23,0,,00:35.89.6,9,00:23:11,00:28:32,,
Strength Training,2022,June,30/06/2022,16:42,Thursday,0,16,00:02:24,2.4,112,127,0.1,0,0,,,,,0,,0,0,11,1,02:23.6,1,02:23.6,02:23.6,,
Strength Training,2022,June,29/06/2022,21:24,Wednesday,0,51,00:09:36,9.6,109,123,0.4,0,0,,,,,0,,0,0,44,9,09:35.84.3,1,05:11.8,09:35.8,,
Strength Training,2022,June,28/06/2022,20:19,Tuesday,0,43,00:07:35,7.58,109,124,0.3,0,0,,,,,0,,0,0,15,5,07:35.52.8,1,02:34.8,07:35.5,,
Running,2022,June,28/06/2022,20:05,Tuesday,2.5,170,00:12:43,12.72,147,182,3.2,160,175,05:06,04:15,95,97,1.22,,0,0,0,,02:19.57.4,3,00:12:43,00:12:43,309,360
Strength Training,2022,June,26/06/2022,21:02,Sunday,0,48,00:08:27,8.45,110,124,0.4,0,0,,,,,0,,0,0,35,6,08:27.37.2,1,03:13.5,08:27.4,,
Strength Training,2022,June,25/06/2022,21:42,Saturday,0,43,00:07:32,7.53,111,127,0.3,0,0,,,,,0,,0,0,51,7,07:32.35.9,1,03:09.4,07:32.4,,
Running,2022,June,25/06/2022,21:13,Saturday,3.25,217,00:18:47,18.78,149,176,3,160,190,05:47,03:32,51,46,1.08,,0,0,0,,01:10.40.5,4,00:18:45,00:18:47,353,375
Pool Swimming,2022,June,24/06/2022,17:23,Friday,0.5,82,00:12:05,12.08,127,144,1.5,0,0,02:13,01:41,,,0,266,46,24,0,,12:04.56.7,1,00:11:03,00:14:35,,
Pool Swimming,2022,June,20/06/2022,17:40,Monday,1.25,189,00:24:56,24.93,135,159,2.3,0,0,02:05,01:25,,,0,444,42,21,0,,04:47.55.8,2,00:21:18,00:30:04,,
Strength Training,2022,June,20/06/2022,17:36,Monday,0,39,00:03:42,3.7,139,155,0.9,0,0,,,,,0,,0,0,13,1,03:41.49.8,1,03:33.7,03:41.5,,
Running,2022,June,18/06/2022,23:28,Saturday,0.02,17,00:02:25,2.42,116,125,0.3,6,91,,19:50,,,1.57,,0,0,0,,02:24.73.1,1,00:00:00,02:24.7,369,371
Strength Training,2022,June,18/06/2022,23:20,Saturday,0,32,00:05:19,5.32,111,127,0.3,0,0,,,,,0,,0,0,13,3,05:18.98.1,1,05:13.5,05:19.0,,
Running,2022,June,18/06/2022,22:54,Saturday,3.47,230,00:17:37,17.62,143,187,3.4,163,175,05:05,04:31,69,45,1.2,,0,0,0,,02:19.33.2,4,00:17:37,00:17:37,345,375
Strength Training,2022,June,17/06/2022,18:40,Friday,0,84,00:37:04,37.07,78,117,0.2,0,0,,,,,0,,0,0,82,10,37:03.94.8,1,06:25.4,00:37:04,,
Pool Swimming,2022,June,14/06/2022,19:31,Tuesday,1.25,185,00:20:47,20.78,118,146,1.1,0,0,02:02,01:04,,,0,461,42,22,0,,06:51.94.9,3,00:20:47,00:25:31,,
Strength Training,2022,June,13/06/2022,21:02,Monday,0,40,00:05:28,5.47,122,138,0.9,0,0,,,,,0,,0,0,38,5,05:28.20.8,1,02:04.4,05:28.2,,
Running,2022,June,11/06/2022,21:53,Saturday,3.01,206,00:18:42,18.7,149,167,2.7,162,239,06:13,04:40,39,59,1,,0,0,0,,00:03.11.8,4,00:18:38,00:18:42,356,389
Strength Training,2022,June,10/06/2022,16:54,Friday,0,8,00:03:46,3.77,78,103,0.1,0,0,,,,,0,,0,0,19,3,03:46.01.4,1,02:00.6,03:46.0,,
Pool Swimming,2022,June,06/06/2022,15:37,Monday,0.45,92,00:11:03,11.05,120,134,0.8,0,0,02:27,00:50,,,0,283,53,26,0,,11:03.34.8,1,00:11:03,00:12:30,,
Pool Swimming,2022,June,06/06/2022,14:41,Monday,0.375,84,00:08:31,8.52,106,127,0.3,0,0,02:16,01:39,,,0,205,48,24,0,,08:30.72.6,1,08:30.7,09:35.2,,
